product_code,revision_code,issue
750C0002,1,FG code missing in FG inventory
750C0002,1,FG code missing in FG inventory
750C0002,1,FG code missing in FG inventory
720C0001F1,2,FG code missing in FG inventory
720C0001F1,2,FG code missing in FG inventory
720C0001F1,2,FG code missing in FG inventory
720C0001F1,2,FG code missing in FG inventory
720C0001F1,2,FG code missing in FG inventory
720C0001F1,2,FG code missing in FG inventory
720C0001F1,2,FG code missing in FG inventory
710C4031HS,1,FG code missing in FG inventory
710C4031HS,1,FG code missing in FG inventory
710C4031HS,1,FG code missing in FG inventory
710C4031HS,1,FG code missing in FG inventory
710C4031HS,1,FG code missing in FG inventory
710C4031HS,1,FG code missing in FG inventory
720C5001HS,1,FG code missing in FG inventory
720C5001HS,1,FG code missing in FG inventory
720C5001HS,1,FG code missing in FG inventory
720C5001HS,1,FG code missing in FG inventory
720C5001HS,1,FG code missing in FG inventory
720C5001HS,1,FG code missing in FG inventory
NSL223789,1,FG code missing in FG inventory
NSL223789,1,FG code missing in FG inventory
NSL223789,1,FG code missing in FG inventory
NSL223789,1,FG code missing in FG inventory
NSL223789,1,FG code missing in FG inventory
NSL223789,1,FG code missing in FG inventory
750C0083,0,FG code missing in FG inventory
750C0083,0,FG code missing in FG inventory
750C0083,0,FG code missing in FG inventory
750C0083,0,FG code missing in FG inventory
750C0083,0,FG code missing in FG inventory
750C0083,0,FG code missing in FG inventory
750C0083,1,FG code missing in FG inventory
750C0083,1,FG code missing in FG inventory
750C0083,1,FG code missing in FG inventory
750C0083,1,FG code missing in FG inventory
750C0083,1,FG code missing in FG inventory
750C0083,1,FG code missing in FG inventory
750C2031F,0,FG code missing in FG inventory
750C2031F,0,FG code missing in FG inventory
750C2031F,0,FG code missing in FG inventory
750C2031F,0,FG code missing in FG inventory
750C2031F,0,FG code missing in FG inventory
710C0092,1,FG code missing in FG inventory
710C0092,1,FG code missing in FG inventory
710C0092,1,FG code missing in FG inventory
710C0092,1,FG code missing in FG inventory
710C0092,1,FG code missing in FG inventory
740C3031F,1,FG code missing in FG inventory
740C3031F,1,FG code missing in FG inventory
740C3031F,1,FG code missing in FG inventory
740C3031F,1,FG code missing in FG inventory
740C3031F,1,FG code missing in FG inventory
740C3031F,1,FG code missing in FG inventory
