severity,source,record_code,issue_type,details
Error,Formulations,500C2091,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,500C2091,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,500C2091,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,500C2091,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,500C0001F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,500C0001F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,500C0001F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,500C0001F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,500C0001F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,500C0001F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,500C0001F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C0031MS,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,720C3031HD,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,720C3031HD,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,720C3031HD,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,720C3031HD,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,720C3031HD,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C0031MS,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C0031MS,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C0031MS,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,720C3005UV,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,720C3005UV,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,720C3005UV,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,720C3005UV,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,720C3005UV,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,720C3005UV,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,720C3005UV,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,720C3005UV,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C0032NB,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C0032NB,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C0032NB,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C0032NB,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C0032NB,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,730C2002F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,730C2002F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,730C2002F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,730C2002F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,730C2002F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,730C2002F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,730C2002F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,730C2002F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,730C2002F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,730C2003F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,730C2003F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,730C2003F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,730C2003F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,730C2003F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,730C2003F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,730C2003F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,720C2081F1,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,720C2081F1,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,720C2081F1,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,720C2081F1,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,720C2081F1,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,720C2081F1,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,720C2081F1,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,720C2081F1,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,720C2081F1,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,720C2081F1,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,720C2081F1,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,730C3061,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,730C3061,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,730C3061,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,730C3061,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,730C3061,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,730C3061,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,730C3061,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,720C1531,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,720C1531,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,720C1531,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,720C1531,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,720C1531,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C0001HSMT,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C0001HSMT,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C0001HSMT,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C0001HSMT,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C0001HSMT,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,910C0091,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,910C0091,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,910C0091,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,720C1281,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,720C1281,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,720C1281,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,720C1281,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,720C1281,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,720C1281,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,720C1281,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,720C1281,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,720C1281,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,720C1281,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,510C3091,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,510C3091,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,510C3091,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,510C3091,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,510C3091,Missing FG Reference,FG code missing in FG inventory
