product_code,revision_code,valid_line_count,total_dosage_percent
710C0084,,0,0.0
710C0091,,0,0.0
710C0091F,,0,0.0
710C1001HS,1,8,99.8
710C1002,,0,0.0
710C1012,,0,0.0
710C1091,,0,0.0
710C2031,,0,0.0
710C2032,,0,0.0
710C2082F,,0,0.0
710C2091F,,0,0.0
710C2281F,,0,0.0
710C2281F,1,20,200.00009
710C2384F,,0,0.0
710C2385F,,0,0.0
710C2386F(N),,0,0.0
710C2391F,,0,0.0
710C2392F,,0,0.0
710C2393F,,0,0.0
710C2394F,,0,0.0
710C3001HS,0,7,90.35
710C3002,,0,0.0
710C3012,,0,0.0
710C3014,,0,0.0
710C3021,,0,0.0
710C3022,,0,0.0
710C3026,,0,0.0
710C3031IM,1,6,96.0
710C3034,1,1,69.13
710C3037,0,7,112.99
710C3042,1,9,98.724
710C3051,,0,0.0
710C3052,,0,0.0
710C3053,,0,0.0
710C3054,2,12,101.72714
710C3062,,0,0.0
710C3063,,0,0.0
710C3064,,0,0.0
710C3065,1,7,100.15
710C3071,,0,0.0
710C3081A,1,8,100.43
710C3081F,,0,0.0
710C3081F2,1,8,100.43
710C3082F,,0,0.0
710C3083,,0,0.0
710C3084,,0,0.0
710C3084F,,0,0.0
710C3086,,0,0.0
710C3088A,,0,0.0
710C3091F,,0,0.0
710C3091HFHS,1,7,100.5
710C3181,,0,0.0
710C4302IM,1,8,115.0
710C5031F1,1,12,200.0
710C5081F,,0,0.0
710C5291,1,10,101.901
710C5292,1,10,102.901
710D0001F,1,3,42.3
710D0001F4,1,5,57.7
710D0027UV,0,9,99.9001
710D0091,,0,0.0
710D1001-4,0,1,0.8
710D1002F3IM,1,14,200.0
710D1004-4,0,5,99.2
710D1004-4,1,20,200.0
710D10044,1,8,99.75
710D1004HS,1,7,99.0
710D2086F,1,7,99.8
710D2284F3,1,26,300.0
710D2385F3,0,12,100.1
710D2581F3,0,12,100.1
710D3002HS,1,14,199.8
710D3002UV,1,8,99.0
710D3004HS,0,7,99.0
710D3005HS,1,7,99.0
710D3006-4,1,9,100.55
710D3086F,1,11,100.0936
710D5003IM,0,10,99.7
710D6081,0,20,196.5
711C0021,,0,0.0
711C0051,,0,0.0
711C0052,,0,0.0
711C0071,,0,0.0
711C0082,,0,0.0
711C0083,,0,0.0
711C0084,,0,0.0
711C0085,1,8,99.886308
711C1002,,0,0.0
711C2081,,0,0.0
711C2081F,,0,0.0
711C2092F,0,9,100.1
711C2181,,0,0.0
711C2181F,,0,0.0
711C2281F,,0,0.0
711C2381F,,0,0.0
711C3001M,5,4,99.0
